English,Spanish,Where it appears
Report,Reportar,"Forms, Bar and More"
Remove row,Quitar fila,Forms
Report sent. The people who handle these reports have been told.,Reporte enviado. Ya se avisó a las personas que atienden estos reportes.,Forms
Required,Obligatorio,Forms
Review,Revisar,Forms
Row {n},Fila {n},Forms
Saving,Guardando,Forms
Section {n},Sección {n},Forms
Section {n} of {total},Sección {n} de {total},Forms
Send it,Enviarlo,Forms
Send this report? You cannot change it after it is sent.,¿Enviar este reporte? No lo podrá cambiar después de enviarlo.,Forms
Sending,Enviando,Forms
Sign,Firmar,Forms
Signed by {name} on {date} at {time},Firmado por {name} el {date} a las {time},Forms
Start report,Comenzar reporte,Forms
These still need an answer,Estas todavía necesitan respuesta,Forms
This question cannot be answered here yet. Your supervisor will finish it.,Esta pregunta todavía no se puede responder aquí. Su supervisor la completará.,Forms
This report was already sent.,Este reporte ya se había enviado.,Forms
This table is full.,Esta tabla está llena.,Forms
Untitled report,Reporte sin título,Forms
{answered} answered,{answered} respondidas,Forms
"{answered} answered, {remaining} to go","{answered} respondidas, faltan {remaining}",Forms
Add to bar,Agregar a la barra,Shortcuts
Add to bar {name},Agregar {name} a la barra,Shortcuts
Always first,Siempre primero,Shortcuts
Always last,Siempre al final,Shortcuts
Everything is on your bar.,Todo está en su barra.,Shortcuts
Home,Inicio,"Shortcuts, Bar and More"
Move down,Bajar,Shortcuts
Move down {name},Bajar {name},Shortcuts
Move up,Subir,Shortcuts
Move up {name},Subir {name},Shortcuts
On your bar,En su barra,Shortcuts
Pick something for this spot,Elija algo para este lugar,Shortcuts
Put the bar back the way it came?,¿Dejar la barra como estaba al principio?,Shortcuts
Remove,Quitar,Shortcuts
Remove {name},Quitar a {name},Speak Up
Replace which one?,¿Cuál quiere reemplazar?,Shortcuts
Reset,Restablecer,Shortcuts
Reset to default,Volver a lo original,Shortcuts
Shortcuts,Accesos directos,"Shortcuts, Settings"
Under More,En Más,Shortcuts
will take the place of the one you pick.,tomará el lugar del que elija.,Shortcuts
Your bar is full.,Su barra está llena.,Shortcuts
Remove {name} from the bar,Quitar {name} de la barra,Shortcuts
Load more,Cargar más,Notifications
Mark all read,Marcar todas como leídas,Notifications
Marking...,Marcando...,Notifications
Nothing yet.,Todavía no hay nada.,Notifications
Notifications did not load.,Las notificaciones no cargaron.,Notifications
Open in the dashboard,Abrir en el panel,Notifications
A,A,Settings
Appearance,Apariencia,Settings
Change PIN,Cambiar PIN,Settings
Choose how the app looks.,Elija cómo se ve la aplicación.,Settings
Choose what sits on your bottom bar. Everything else is under More.,Elija qué va en su barra de abajo. Todo lo demás queda en Más.,"Settings, Shortcuts"
Confirm New PIN,Confirmar PIN nuevo,Settings
Could not update your PIN.,No se pudo actualizar su PIN.,Settings
Current PIN,PIN actual,Settings
Dark,Oscuro,Settings
Light,Claro,Settings
Makes everything in the app bigger on this phone.,Agranda todo en la aplicación en este teléfono.,Settings
Makes everything in the app bigger.,Agranda todo en la aplicación.,Settings
New PIN,PIN nuevo,Settings
Text size,Tamaño del texto,Settings
"The app, Help and report forms use this language.","La aplicación, Ayuda y los formularios usan este idioma.",Settings
Update PIN,Actualizar PIN,Settings
Your PIN is 4 digits. Choose one that only you know.,Su PIN es de 4 dígitos. Elija uno que solo usted sepa.,Settings
Enter your current 4-digit PIN.,Escriba su PIN actual de 4 dígitos.,Settings
Your new PIN must be different from your current PIN.,Su PIN nuevo debe ser distinto de su PIN actual.,Settings
That is not your current PIN.,Ese no es su PIN actual.,Settings
That PIN is too easy to guess. Choose a different one.,Ese PIN es muy fácil de adivinar. Elija uno distinto.,Settings
Address,Dirección,Profile
Address Line 1,Dirección línea 1,Profile
Address Line 2,Dirección línea 2,Profile
"Apt, suite, etc.","Apartamento, suite, etc.",Profile
Birthday,Fecha de nacimiento,Profile
City,Ciudad,Profile
Emergency Contact,Contacto de emergencia,Profile
Emergency Phone,Teléfono de emergencia,Profile
Employee ID,ID de empleado,Profile
Employee ID not assigned. Ask your supervisor.,No tiene ID de empleado asignado. Pregúntele a su supervisor.,Profile
Full name,Nombre completo,Profile
Loading profile...,Cargando perfil...,Profile
No shift,Sin turno,Profile
Not set,Sin poner,Profile
Personal Information,Información personal,Profile
Phone number,Número de teléfono,Profile
Photo must be under 20MB,La foto debe pesar menos de 20 MB,Profile
Photo updated,Foto actualizada,Profile
Profile updated,Perfil actualizado,Profile
Save,Guardar,Profile
Site Assignments,Sitios asignados,Profile
Staff,Personal,Profile
State,Estado,Profile
Street address,Calle y número,Profile
Zip,Código postal,Profile
"A part day needs both a start and an end time, on one day","Parte de un día necesita hora de inicio y hora de fin, en un solo día","API message, shown word for word"
A photo could not be read. Upload it again and resend it.,Una foto no se pudo leer. Súbala otra vez y vuelva a enviarla.,"API message, shown word for word"
A photo is larger than 5 MB. Send a smaller photo.,Una foto pesa más de 5 MB. Envíe una foto más pequeña.,"API message, shown word for word"
"A photo must be a JPEG, PNG or WebP image.","La foto debe ser una imagen JPEG, PNG o WebP.","API message, shown word for word"
A sign-off is made with its own button,La firma se hace con su propio botón,"API message, shown word for word"
Choose a type of time off,Elija un tipo de tiempo libre,"API message, shown word for word"
Dates must be YYYY-MM-DD,Las fechas deben ser YYYY-MM-DD,"API message, shown word for word"
Draft not found,No se encontró el reporte,"API message, shown word for word"
Enter a real date,Escriba una fecha real,"API message, shown word for word"
Enter a real time,Escriba una hora real,"API message, shown word for word"
Form not found,No se encontró el formulario,"API message, shown word for word"
Hours must be a number from 0 to 999.99,Las horas deben ser un número de 0 a 999.99,"API message, shown word for word"
Keep the reason to 1000 characters or fewer.,Escriba el motivo en 1000 caracteres o menos.,"API message, shown word for word"
language must be en or es,el idioma debe ser en o es,"API message, shown word for word"
One of the people picked is not on the staff list,Una de las personas elegidas no está en la lista del personal,"API message, shown word for word"
Photo upload failed,No se pudo subir la foto,"API message, shown word for word"
Pick at least one person this is about,Elija al menos a una persona de quien trata este reporte,"API message, shown word for word"
Pick up to 10 people,Elija hasta 10 personas,"API message, shown word for word"
Request failed,La solicitud falló,"API message, shown word for word"
Request not found,No se encontró la solicitud,"API message, shown word for word"
Required fields are unanswered,Faltan campos obligatorios por responder,"API message, shown word for word"
Say whether this is about someone in management,Indique si esto es sobre alguien de la gerencia,"API message, shown word for word"
Send answers as an object of key and value,Envíe las respuestas como un objeto de clave y valor,"API message, shown word for word"
Send at most 3 photos with one message.,Envíe como máximo 3 fotos en un mensaje.,"API message, shown word for word"
Server error,Error del servidor,"API message, shown word for word"
Session expired,Su sesión venció,"API message, shown word for word"
shortcuts must be four different tab ids,los accesos directos deben ser cuatro pestañas distintas,"API message, shown word for word"
Some answers are not valid,Algunas respuestas no son válidas,"API message, shown word for word"
"textSize must be standard, large, xlarge or largest","el tamaño del texto debe ser standard, large, xlarge o largest","API message, shown word for word"
That column is not on this form,Esa columna no está en este formulario,"API message, shown word for word"
That is not a sign-off on this form,Eso no es una firma de este formulario,"API message, shown word for word"
That photo was not uploaded by you. Upload the photo again and resend it.,Esa foto no la subió usted. Suba la foto otra vez y vuelva a enviarla.,"API message, shown word for word"
That row is not on this form,Esa fila no está en este formulario,"API message, shown word for word"
That table has no room for another row,Esa tabla no tiene espacio para otra fila,"API message, shown word for word"
The last day cannot be before the first day,El último día no puede ser anterior al primer día,"API message, shown word for word"
theme must be light or dark,el tema debe ser light o dark,"API message, shown word for word"
These fields cannot be answered here,Estos campos no se pueden responder aquí,"API message, shown word for word"
This form is not available to you,Este formulario no está disponible para usted,"API message, shown word for word"
This part is already signed,Esta parte ya está firmada,"API message, shown word for word"
This report is already submitted,Este reporte ya está enviado,"API message, shown word for word"
This report was already submitted,Este reporte ya se había enviado,"API message, shown word for word"
This report was voided,Este reporte fue anulado,"API message, shown word for word"
This request was already approved,Esta solicitud ya estaba aprobada,"API message, shown word for word"
This request was already cancelled,Esta solicitud ya estaba cancelada,"API message, shown word for word"
This request was already denied,Esta solicitud ya estaba denegada,"API message, shown word for word"
Time off can start at most 30 days ago,El tiempo libre puede comenzar 30 días atrás como máximo,"API message, shown word for word"
Time off can start at most one year ahead,El tiempo libre puede comenzar un año adelante como máximo,"API message, shown word for word"
"Times must be HH:MM, from 00:00 to 23:59","Las horas deben ser HH:MM, de 00:00 a 23:59","API message, shown word for word"
Upload failed,No se pudo subir el archivo,"API message, shown word for word"
User not found,No se encontró el usuario,"API message, shown word for word"
You already have time off requested or approved for those days,Ya tiene tiempo libre solicitado o aprobado para esos días,"API message, shown word for word"
You cannot pick yourself,No puede elegirse a sí mismo,"API message, shown word for word"
You cannot sign this part of the form,Usted no puede firmar esta parte del formulario,"API message, shown word for word"
Chat,Mensajes,Bar and More
Help,Ayuda,Bar and More
Inspect,Inspección,Bar and More
now,ahora,notifAgo
Schedule,Horario,Bar and More
Speak Up,Confianza,Bar and More
Tasks,Tareas,Bar and More
{n}d,{n} d,notifAgo
{n}h,{n} h,notifAgo
{n}m,{n} min,notifAgo
